Time,T_Outdoor_Temperature_C,m_dot_water
6/2/2023 2:40,14.81468518,0
6/2/2023 2:45,14.96059259,0
6/2/2023 2:50,15.04159259,0
6/2/2023 2:55,14.60829629,0
6/2/2023 3:00,14.22094444,0
6/2/2023 3:05,14.31255556,0
6/2/2023 3:10,14.59374074,0
6/2/2023 3:15,14.18748148,0
6/2/2023 3:20,14.4145,0
6/2/2023 3:25,14.64174074,0
6/2/2023 3:30,14.31672222,0
6/2/2023 3:35,14.03114815,0
6/2/2023 3:40,14.03937037,0
6/2/2023 3:45,13.91653704,0
6/2/2023 3:50,13.94777778,0
6/2/2023 3:55,13.78111111,0
6/2/2023 4:00,13.59396296,0
6/2/2023 4:05,13.7,0
6/2/2023 4:10,13.88311111,0
6/2/2023 4:15,13.96231482,0
6/2/2023 4:20,13.84768518,0
6/2/2023 4:25,13.66674074,0
6/2/2023 4:30,13.81872222,0
6/2/2023 4:35,13.79375926,0
6/2/2023 4:40,13.66885185,0
6/2/2023 4:45,13.58148148,0
6/2/2023 4:50,13.64187037,0
6/2/2023 4:55,13.53555556,0
6/2/2023 5:00,13.52311111,0
6/2/2023 5:05,13.35833333,0
6/2/2023 5:10,13.30201852,0
6/2/2023 5:15,13.35198148,0
6/2/2023 5:20,13.32896296,0
6/2/2023 5:25,13.58970371,0
6/2/2023 5:30,13.62301852,0
6/2/2023 5:35,13.18325926,0
6/2/2023 5:40,13.35829629,0
6/2/2023 5:45,13.57714815,0
6/2/2023 5:50,13.31659259,0
6/2/2023 5:55,13.21029629,0
6/2/2023 6:00,12.87494444,0.002040503
6/2/2023 6:05,12.87709259,0
6/2/2023 6:10,12.71861111,0
6/2/2023 6:15,12.4875,0
6/2/2023 6:20,12.47925926,0
6/2/2023 6:25,12.36061111,0
6/2/2023 6:30,12.35633333,0
6/2/2023 6:35,12.29385185,0
6/2/2023 6:40,12.13755556,0
6/2/2023 6:45,12.01027778,0
6/2/2023 6:50,11.81896296,0
6/2/2023 6:55,11.91859259,0
6/2/2023 7:00,11.78762963,0
6/2/2023 7:05,11.88329629,0
6/2/2023 7:10,12.05820371,0
6/2/2023 7:15,12.09988889,0
6/2/2023 7:20,12.33133333,0
6/2/2023 7:25,12.28555556,0
6/2/2023 7:30,12.46877778,0
6/2/2023 7:35,12.777,0
6/2/2023 7:40,13.14788889,0.042640687
6/2/2023 7:45,13.54581482,0.070141759
6/2/2023 7:50,14.42501852,0.070193707
6/2/2023 7:55,15.02287037,0.069643062
